shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
21,-78.510404,38.044041,148
21,-78.510116,38.043915,149
21,-78.508725,38.045945,150
21,-78.505160,38.044410,151
21,-78.505400,38.043440,152
21,-78.506190,38.041150,153
21,-78.507604,38.041344,154
21,-78.508288,38.041666,155
21,-78.508800,38.041090,156
21,-78.506620,38.039820,157
21,-78.506130,38.039520,158
21,-78.505889,38.039260,159
21,-78.505740,38.038930,160
21,-78.504930,38.037420,161
21,-78.504670,38.037050,162
21,-78.504570,38.036720,163
21,-78.504570,38.036530,164
21,-78.504780,38.036190,165
21,-78.505225,38.035506,166
21,-78.505333,38.035319,167
22,-78.519640,38.028907,1
22,-78.519451,38.029068,2
22,-78.519425,38.029205,3
22,-78.519511,38.029303,4
22,-78.519753,38.029401,5
22,-78.519925,38.029440,6
22,-78.520112,38.029462,7
22,-78.520324,38.029463,8
22,-78.520419,38.029619,9
22,-78.520514,38.029674,10
22,-78.520469,38.030367,11
22,-78.520419,38.030366,12
22,-78.520296,38.030466,13
22,-78.519856,38.030455,14
22,-78.519437,38.030527,15
22,-78.519119,38.030609,16
22,-78.518903,38.030761,17
22,-78.518555,38.031169,18
22,-78.518385,38.031431,19
